# DwarfCorp profiler export
# generated_utc,2026-04-20T00:45:26.0518437Z
# frame_capture_enabled,1
# frames_in_history,600

# Metrics
name,value
GUI Mesh Size,1000
VISIBLE CHUNKS,103
Physics Objects,33
Transforms,234
COMPONENTS,2225
ENTITIES UPDATED,234
ChunkMeshGenBatchSize,1
ChunkMeshGenWorkers,15
AI Objects,22
ChunkMeshUploadsThisFrame,0
ChunkMeshUploadsPending,0
INSTANCES DRAWN,1073

# Functions (last captured frame, sorted by ticks desc)
name,calls,micros
Root,1,2978793
Render,1,2977337
GUI Mesh Gen,1,18361
Update,1,1452
Component Update,1,204
AISystem,1,170
PhysicsSystem,1,69
EnumRootLFrus,1,46
ChunkRenderer.Update,1,26
Transform Update,1,7
ChunkMeshUploadDrain,2,3

56.887,64.0,15.421
56.905,53.0,18.680
56.921,65.0,15.264
56.938,57.0,17.271
56.954,64.0,15.587
56.971,57.0,17.433
56.987,63.0,15.753
57.005,56.0,17.844
57.022,58.0,17.219
57.038,62.0,15.884
57.053,63.0,15.672
57.071,58.0,17.167
57.088,57.0,17.307
57.104,62.0,16.080
57.121,58.0,17.005
57.137,62.0,16.015
57.156,51.0,19.385
57.448,3.0,291.469
57.471,43.0,23.138
57.476,206.0,4.854
57.487,85.0,11.712
57.504,62.0,16.091
57.521,57.0,17.378
57.537,62.0,15.973
57.554,57.0,17.487
57.570,62.0,16.011
57.589,53.0,18.610
57.604,68.0,14.535
57.621,57.0,17.456
57.637,63.0,15.820
57.655,54.0,18.477
57.670,67.0,14.901
57.688,56.0,17.640
57.704,61.0,16.344
57.721,60.0,16.655
57.737,61.0,16.134
57.755,56.0,17.676
57.771,62.0,15.898
57.787,59.0,16.858
57.804,59.0,16.678
57.821,60.0,16.583
57.838,57.0,17.457
57.854,63.0,15.649
57.871,58.0,17.138
57.888,60.0,16.656
57.904,60.0,16.429
57.921,60.0,16.593
57.937,59.0,16.849
57.960,44.0,22.360
58.194,4.0,234.129
58.275,12.0,81.252
58.284,110.0,9.019
58.288,246.0,4.062
58.309,48.0,20.714
58.321,82.0,12.111
58.337,63.0,15.644
58.355,56.0,17.757
58.371,61.0,16.250
58.388,58.0,16.999
58.404,63.0,15.846
58.421,57.0,17.458
58.437,62.0,16.085
58.454,58.0,17.204
58.470,63.0,15.662
58.488,54.0,18.189
58.505,61.0,16.360
58.520,63.0,15.855
58.538,56.0,17.814
58.554,64.0,15.539
58.570,61.0,16.239
58.589,53.0,18.839
58.604,68.0,14.684
58.622,53.0,18.738
58.637,68.0,14.563
58.654,57.0,17.494
58.670,62.0,15.926
58.688,56.0,17.681
58.703,64.0,15.457
58.721,55.0,17.891
58.740,53.0,18.566
59.056,3.0,315.978
59.077,46.0,21.613
59.081,263.0,3.799
59.088,159.0,6.264
59.104,61.0,16.326
59.121,58.0,17.071
59.137,62.0,15.903
59.154,57.0,17.493
59.171,60.0,16.519
59.188,58.0,17.041
59.204,63.0,15.725
59.221,56.0,17.768
59.237,65.0,15.366
59.254,57.0,17.492
59.271,61.0,16.388
59.288,56.0,17.801
59.303,67.0,14.775
59.322,53.0,18.723
59.337,66.0,15.038
59.354,59.0,16.846
59.371,59.0,16.931
59.387,61.0,16.371
59.404,58.0,17.090
59.421,59.0,16.696
59.438,60.0,16.645
59.453,62.0,15.921
59.471,57.0,17.396
59.487,61.0,16.222
59.505,57.0,17.463
59.521,62.0,16.086
59.538,59.0,16.934
59.555,58.0,17.223
59.575,49.0,20.397
59.904,3.0,328.746
59.939,28.0,35.119
59.944,185.0,5.399
59.954,103.0,9.649
59.970,61.0,16.140
59.988,56.0,17.656
60.004,63.0,15.682
60.021,57.0,17.261
60.037,61.0,16.233
60.055,56.0,17.829
60.071,62.0,16.053
60.087,62.0,15.881
60.104,57.0,17.527
60.120,63.0,15.702
60.138,55.0,17.882
60.153,64.0,15.550
60.171,55.0,18.020
60.188,61.0,16.173
60.204,62.0,15.880
60.221,56.0,17.780
60.237,64.0,15.578
60.254,57.0,17.254
60.270,62.0,15.987
60.288,56.0,17.726
60.305,59.0,16.706
60.321,60.0,16.416
60.337,64.0,15.588
60.355,55.0,18.001
60.370,64.0,15.441
60.388,55.0,17.888
60.403,64.0,15.474
