# DwarfCorp profiler export
# generated_utc,2026-04-20T01:01:49.5923816Z
# frame_capture_enabled,1
# frames_in_history,600

# Metrics
name,value
GUI Mesh Size,1300
VISIBLE CHUNKS,148
Physics Objects,22
Transforms,141
COMPONENTS,2781
ENTITIES UPDATED,141
ChunkMeshGenBatchSize,1
ChunkMeshGenWorkers,15
AI Objects,19
ChunkMeshUploadsThisFrame,0
ChunkMeshUploadsPending,0
INSTANCES DRAWN,1264

# Functions (last captured frame, sorted by ticks desc)
name,calls,micros
Root,1,586480
Render,1,585235
Update,1,1243
GUI Mesh Gen,1,1230
AISystem,1,169
Component Update,1,115
PhysicsSystem,1,48
EnumRootLFrus,1,47
ChunkRenderer.Update,1,30
Transform Update,1,5
ChunkMeshUploadDrain,1,0

37.810,57.0,17.535
38.331,1.0,521.098
38.378,21.0,47.504
38.386,137.0,7.247
38.389,299.0,3.339
38.402,74.0,13.337
38.419,59.0,16.669
38.436,56.0,17.636
38.461,40.0,24.391
38.469,118.0,8.425
38.485,63.0,15.778
38.503,55.0,17.877
38.519,62.0,16.061
38.536,57.0,17.353
38.552,65.0,15.261
38.569,56.0,17.553
38.586,60.0,16.594
38.602,63.0,15.783
38.619,56.0,17.846
38.644,41.0,24.367
38.652,115.0,8.683
38.668,63.0,15.771
38.695,37.0,26.718
38.706,91.0,10.908
38.731,39.0,25.456
39.227,2.0,495.421
39.351,8.0,124.747
39.396,22.0,44.499
39.414,56.0,17.772
39.422,124.0,8.007
39.446,41.0,24.148
39.452,156.0,6.399
39.468,62.0,15.970
39.486,57.0,17.495
39.502,63.0,15.845
39.520,54.0,18.277
39.545,40.0,24.811
39.553,127.0,7.845
39.588,28.0,35.068
39.593,199.0,5.010
39.611,55.0,17.903
39.620,109.0,9.139
39.635,65.0,15.301
39.652,57.0,17.270
39.678,39.0,25.407
39.686,125.0,7.981
39.701,63.0,15.818
39.725,42.0,23.653
39.893,5.0,167.407
39.922,34.0,29.157
39.928,159.0,6.254
39.935,146.0,6.808
39.953,55.0,18.103
39.977,40.0,24.519
39.986,120.0,8.269
40.002,62.0,15.897
40.020,54.0,18.295
40.035,65.0,15.162
40.053,56.0,17.638
40.084,31.0,31.585
40.090,167.0,5.957
40.102,88.0,11.351
40.120,54.0,18.230
40.322,4.0,201.973
40.348,37.0,26.735
40.354,165.0,6.043
40.377,44.0,22.569
40.385,119.0,8.380
40.401,62.0,15.919
40.419,56.0,17.616
40.435,63.0,15.705
40.470,28.0,34.989
40.515,21.0,45.600
40.537,45.0,22.110
40.542,208.0,4.799
40.561,52.0,18.987
40.568,141.0,7.048
40.587,54.0,18.368
40.603,60.0,16.568
40.643,24.0,40.089
40.648,190.0,5.249
40.653,216.0,4.624
40.668,66.0,14.941
40.686,54.0,18.219
40.701,66.0,15.056
40.719,57.0,17.382
40.735,61.0,16.180
40.761,38.0,26.016
40.785,41.0,24.305
40.799,70.0,14.254
40.881,12.0,81.795
41.083,4.0,201.426
41.115,31.0,31.993
41.152,26.0,37.783
41.210,17.0,57.827
41.237,37.0,26.733
41.269,30.0,32.284
41.287,58.0,17.219
41.292,190.0,5.252
41.324,31.0,31.922
41.348,40.0,24.412
41.368,51.0,19.411
41.372,202.0,4.932
41.385,81.0,12.260
41.402,57.0,17.432
41.431,34.0,29.050
41.489,17.0,57.842
41.521,30.0,32.341
41.528,158.0,6.315
41.535,141.0,7.086
41.552,57.0,17.525
41.574,45.0,21.873
41.591,58.0,17.066
41.610,54.0,18.507
41.663,18.0,53.409
41.769,9.0,105.732
41.828,16.0,59.191
41.836,132.0,7.524
41.845,104.0,9.547
41.857,85.0,11.649
41.869,85.0,11.735
41.900,31.0,31.825
41.914,72.0,13.713
41.927,75.0,13.324
41.976,20.0,48.324
42.018,23.0,42.578
42.033,68.0,14.623
42.037,242.0,4.130
42.052,66.0,15.073
42.069,60.0,16.662
42.085,60.0,16.566
42.102,61.0,16.213
42.125,42.0,23.404
42.135,96.0,10.378
42.152,60.0,16.667
42.168,62.0,16.066
42.186,56.0,17.683
42.202,63.0,15.759
42.219,58.0,17.128
42.245,38.0,26.094
42.252,134.0,7.457
42.269,60.0,16.496
42.286,59.0,16.829
42.301,63.0,15.853
42.334,30.0,32.918
42.340,165.0,6.056
42.351,90.0,11.050
42.370,55.0,18.174
42.688,3.0,318.665
42.768,12.0,80.189
42.848,12.0,79.839
42.858,98.0,10.116
42.869,90.0,11.024
42.885,63.0,15.647
42.902,57.0,17.417
42.919,61.0,16.369
42.935,60.0,16.508
42.952,60.0,16.597
42.976,41.0,24.042
42.991,67.0,14.738
43.011,49.0,20.065
43.024,75.0,13.280
43.162,7.0,137.465
43.304,7.0,142.689
43.351,21.0,47.075
43.358,150.0,6.655
43.396,26.0,37.664
43.485,11.0,89.744
43.583,10.0,98.114
43.611,36.0,27.379
43.616,195.0,5.103
43.621,208.0,4.787
43.636,65.0,15.195
43.652,62.0,16.124
43.669,58.0,17.085
43.686,60.0,16.403
43.819,7.0,133.104
44.000,5.0,180.898
44.086,11.0,86.396
44.263,5.0,177.096
44.333,14.0,70.257
44.375,23.0,42.130
44.410,28.0,34.611
44.448,26.0,38.246
44.464,65.0,15.366
44.484,48.0,20.491
44.490,180.0,5.544
44.524,29.0,33.865
44.550,37.0,26.410
44.573,43.0,22.885
44.579,172.0,5.785
44.585,151.0,6.619
44.603,56.0,17.751
44.630,36.0,27.044
44.699,14.0,68.703
44.725,37.0,26.655
44.731,176.0,5.658
44.759,35.0,27.958
44.778,53.0,18.584
44.783,201.0,4.972
44.788,174.0,5.724
44.820,31.0,31.395
44.826,168.0,5.944
44.835,106.0,9.421
44.852,57.0,17.358
44.868,62.0,16.016
44.886,58.0,17.229
44.902,60.0,16.549
44.919,59.0,16.863
44.935,62.0,15.928
44.955,50.0,19.712
45.104,6.0,149.179
45.137,30.0,33.185
45.143,173.0,5.779
45.153,99.0,10.014
45.168,64.0,15.549
45.186,57.0,17.323
45.202,60.0,16.545
45.219,58.0,17.018
45.348,7.0,128.740
45.455,9.0,107.173
45.526,14.0,71.249
45.585,17.0,58.667
45.644,17.0,58.722
45.680,27.0,35.735
45.712,31.0,32.165
45.735,43.0,23.135
45.777,23.0,41.871
45.829,19.0,52.119
45.864,28.0,35.203
45.910,21.0,45.795
45.935,39.0,25.188
45.951,61.0,16.254
45.957,192.0,5.194
45.979,45.0,22.179
45.995,60.0,16.629
46.060,15.0,64.476
46.125,15.0,65.651
46.219,10.0,93.048
46.315,10.0,96.664
46.394,12.0,78.762
46.472,12.0,77.857
46.563,10.0,91.173
46.628,15.0,64.961
46.656,35.0,28.385
46.663,151.0,6.608
46.702,25.0,39.372
46.709,161.0,6.202
46.719,92.0,10.774
46.736,61.0,16.350
46.753,58.0,17.103
46.769,62.0,16.053
46.795,37.0,26.343
46.926,7.0,131.118
46.946,50.0,19.803
46.957,94.0,10.625
46.963,164.0,6.078
46.969,167.0,5.987
46.986,58.0,17.177
47.113,7.0,127.531
47.254,7.0,140.514
47.269,64.0,15.491
47.286,62.0,16.089
47.291,173.0,5.749
47.303,89.0,11.211
47.329,37.0,26.501
47.336,153.0,6.525
47.353,57.0,17.260
47.369,62.0,15.911
47.386,57.0,17.271
47.636,4.0,249.529
47.658,45.0,22.147
47.662,209.0,4.774
47.668,169.0,5.890
47.685,59.0,16.710
47.703,54.0,18.250
47.718,67.0,14.841
47.735,59.0,16.777
47.752,58.0,17.073
47.770,55.0,18.182
47.785,66.0,15.141
47.801,63.0,15.825
47.819,57.0,17.524
47.835,62.0,15.992
47.853,53.0,18.543
47.868,67.0,14.768
47.886,54.0,18.332
47.902,65.0,15.308
47.918,60.0,16.441
47.935,58.0,17.201
47.952,59.0,16.823
47.968,61.0,16.141
47.985,59.0,16.751
48.002,59.0,16.780
48.019,58.0,17.229
48.036,60.0,16.568
48.055,51.0,19.529
48.861,1.0,805.875
48.904,22.0,43.484
48.921,60.0,16.658
48.926,208.0,4.797
49.011,11.0,85.178
49.103,10.0,91.745
49.116,75.0,13.242
49.148,31.0,31.463
49.154,160.0,6.243
49.167,72.0,13.749
49.184,61.0,16.255
49.207,42.0,23.267
49.217,96.0,10.347
49.234,58.0,17.066
49.251,62.0,16.072
49.268,58.0,17.221
49.284,61.0,16.183
49.302,56.0,17.664
49.318,62.0,15.937
49.335,56.0,17.639
49.359,41.0,24.305
49.669,3.0,309.892
49.728,17.0,58.205
49.735,126.0,7.908
49.739,255.0,3.913
49.750,92.0,10.763
49.776,38.0,25.888
49.783,137.0,7.282
49.799,62.0,16.072
49.827,36.0,27.539
49.834,145.0,6.865
49.851,58.0,17.072
49.866,65.0,15.286
49.884,57.0,17.460
49.900,59.0,16.790
49.917,61.0,16.187
49.934,57.0,17.265
49.950,60.0,16.609
49.967,61.0,16.348
49.983,60.0,16.610
50.000,59.0,16.700
50.016,62.0,16.085
50.037,49.0,20.357
50.627,1.0,590.752
50.677,20.0,49.813
50.685,131.0,7.620
50.689,247.0,4.047
50.699,94.0,10.613
50.716,58.0,17.040
